"2012 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of March 8, 2012.  Includes all 2012 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2012, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2012 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall            Star Rating
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0151,1,0,"$4,450 ",2.5
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,6,"$3,400 ",2.5
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$149.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,1,"$3,400 ",2.5
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthyAdvantage (HMO),Local HMO *,$0.00 ,,,,,H0150,12,0,"$3,400 ",3
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthyAdvantage Preferred (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Many Generics,EA,H0150,1,0,"$3,400 ",3
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthyAdvantage Premier (HMO-POS),Local HMO,$38.00 ,$0 ,Enhanced,Many Generics,EA,H0150,23,0,"$3,400 ",3
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H8145,75,0,"$5,000 ",Plan too new to be measured
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00 ,,,,,H8145,111,0,"$6,700 ",Plan too new to be measured
Alabama,Baldwin,"Humana Health Plan, Inc.",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2012,3,0,"$3,400 ",3
Alabama,Baldwin,"Humana Health Plan, Inc.",Humana Gold Plus H2012-051 (HMO-POS),Local HMO,$35.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2012,51,0,"$4,900 ",3
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Barbour,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Bibb,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0151,1,0,"$4,450 ",2.5
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,6,"$3,400 ",2.5
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,4,"$3,400 ",2.5
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthyAdvantage (HMO),Local HMO *,$0.00 ,,,,,H0150,12,0,"$3,400 ",3
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthyAdvantage Preferred (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Many Generics,EA,H0150,1,0,"$3,400 ",3
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthyAdvantage Premier (HMO-POS),Local HMO,$38.00 ,$0 ,Enhanced,Many Generics,EA,H0150,23,0,"$3,400 ",3
Alabama,Bibb,"Humana Health Plan, Inc.",Humana Gold Plus H2012-002 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2012,2,0,"$4,900 ",3
Alabama,Bibb,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$51.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,2,0,"$4,900 ",2.5
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Blount,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0151,1,0,"$4,450 ",2.5
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,6,"$3,400 ",2.5
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,4,"$3,400 ",2.5
Alabama,Blount,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$51.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,2,0,"$4,900 ",2.5
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$135.00 ,$0 ,Enhanced,Some Generics,EA,H5698,152,0,"$3,400 ",2.5
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Some Generics,EA,H5698,150,0,"$6,700 ",2.5
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$25.00 ,$0 ,Enhanced,Some Generics,EA,H5698,151,0,"$3,400 ",2.5
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00 ,,,,,H5698,35,0,"$3,400 ",2.5
Alabama,Bullock,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Bullock,Humana Insurance Company,HumanaChoice H1681-005 (PPO),Local PPO,$39.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,5,0,"$4,900 ",2.5
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Butler,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Calhoun,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$189.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,2,"$3,400 ",2.5
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Chambers,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Chambers,Humana Insurance Company,HumanaChoice H5214-009 (PPO),Local PPO,$28.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H5214,9,0,"$3,900 ",3
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Cherokee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthyAdvantage (HMO),Local HMO *,$0.00 ,,,,,H0150,12,0,"$3,400 ",3
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthyAdvantage Preferred (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Many Generics,EA,H0150,1,0,"$3,400 ",3
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthyAdvantage Premier (HMO-POS),Local HMO,$38.00 ,$0 ,Enhanced,Many Generics,EA,H0150,23,0,"$3,400 ",3
Alabama,Cherokee,Humana Insurance Company,HumanaChoice H1681-004 (PPO),Local PPO,$29.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,4,0,"$4,900 ",2.5
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Chilton,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0151,1,0,"$4,450 ",2.5
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,6,"$3,400 ",2.5
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,4,"$3,400 ",2.5
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthyAdvantage (HMO),Local HMO *,$0.00 ,,,,,H0150,12,0,"$3,400 ",3
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthyAdvantage Preferred (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Many Generics,EA,H0150,1,0,"$3,400 ",3
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthyAdvantage Premier (HMO-POS),Local HMO,$38.00 ,$0 ,Enhanced,Many Generics,EA,H0150,23,0,"$3,400 ",3
Alabama,Chilton,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$51.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,2,0,"$4,900 ",2.5
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00 ,$125 ,Basic,No Gap Coverage,BA,H0154,1,0,"$6,700 ",3.5
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$99.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0154,11,0,"$6,700 ",3.5
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00 ,,,,,H0154,8,0,"$6,700 ",3.5
Alabama,Choctaw,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Clarke,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Clarke,"Humana Health Plan, Inc.",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2012,3,0,"$3,400 ",3
Alabama,Clarke,"Humana Health Plan, Inc.",Humana Gold Plus H2012-051 (HMO-POS),Local HMO,$35.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2012,51,0,"$4,900 ",3
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Clay,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H8145,75,0,"$5,000 ",Plan too new to be measured
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00 ,,,,,H8145,111,0,"$6,700 ",Plan too new to be measured
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Cleburne,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Coffee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,4,"$3,400 ",2.5
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$199.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,5,"$3,400 ",2.5
Alabama,Colbert,Humana Insurance Company,HumanaChoice H1681-001 (PPO),Local PPO,$39.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,1,0,"$4,900 ",2.5
Alabama,Colbert,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Colbert,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Conecuh,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Conecuh,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Conecuh,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Coosa,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Coosa,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Coosa,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Covington,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Covington,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Covington,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
Alabama,Crenshaw,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,3,"$3,400 ",2.5
Alabama,Crenshaw,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
Alabama,Crenshaw,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,65,0,"$3,400 ",3
