"2013 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of November 21, 2012.  Includes 2013 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, Medicare/Medicaid plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2013, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2013 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall            Star Rating
Alabama,Autauga,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00,,,,,H5698,035,0," $3,400 ",2.5 Stars
Alabama,Autauga,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$40.00,$0,Enhanced,Some Generics,EA,H5698,036,0," $3,400 ",2.5 Stars
Alabama,Autauga,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00,$0,Enhanced,Some Generics,EA,H5698,062,0," $6,700 ",2.5 Stars
Alabama,Autauga,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$128.00,$0,Enhanced,Some Generics,EA,H5698,068,0," $4,500 ",2.5 Stars
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$67.00,$0,Enhanced,Few Generics and Few Brands,EA,H8145,075,0, N/A ,3.5 Stars
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0, N/A ,3.5 Stars
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$153.00,$0,Enhanced,No Gap Coverage,EA,H0104,010,1," $3,400 ",3 Stars
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$290,Basic,No Gap Coverage,BA,H0104,011,6," $3,400 ",3 Stars
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring Preferred (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0," $3,400 ",3 Stars
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring Advantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0," $3,400 ",3 Stars
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring Premier (HMO-POS),Local HMO,$69.50,$0,Enhanced,Many Generics,EA,H0150,023,0," $2,950 ",3 Stars
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0151,001,0," $4,450 ",2.5 Stars
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Baldwin,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Baldwin,"Humana Health Plan, Inc.",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00,$0,Enhanced,Few Generics and Few Brands,EA,H2012,003,0," $5,900 ",3.5 Stars
Alabama,Baldwin,"Humana Health Plan, Inc.",Humana Gold Plus H2012-051 (HMO),Local HMO,$43.00,$0,Enhanced,Few Generics and Few Brands,EA,H2012,051,0," $4,900 ",3.5 Stars
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$67.00,$0,Enhanced,Few Generics and Few Brands,EA,H8145,075,0, N/A ,3.5 Stars
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0, N/A ,3.5 Stars
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Barbour,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$123.00,$0,Enhanced,No Gap Coverage,EA,H0104,010,4," $3,400 ",3 Stars
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$290,Basic,No Gap Coverage,BA,H0104,011,6," $3,400 ",3 Stars
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring Preferred (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0," $3,400 ",3 Stars
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring Advantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0," $3,400 ",3 Stars
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring Premier (HMO-POS),Local HMO,$69.50,$0,Enhanced,Many Generics,EA,H0150,023,0," $2,950 ",3 Stars
Alabama,Bibb,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0151,001,0," $4,450 ",2.5 Stars
Alabama,Bibb,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$53.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,002,0," $5,300 ",3 Stars
Alabama,Bibb,"Humana Health Plan, Inc.",Humana Gold Plus H2012-002 (HMO),Local HMO,$0.00,$0,Enhanced,Few Generics and Few Brands,EA,H2012,002,0," $4,900 ",3.5 Stars
Alabama,Bibb,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00,,,,,H5698,035,0," $3,400 ",2.5 Stars
Alabama,Bibb,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$40.00,$0,Enhanced,Some Generics,EA,H5698,036,0," $3,400 ",2.5 Stars
Alabama,Bibb,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00,$0,Enhanced,Some Generics,EA,H5698,062,0," $6,700 ",2.5 Stars
Alabama,Bibb,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$128.00,$0,Enhanced,Some Generics,EA,H5698,068,0," $4,500 ",2.5 Stars
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$123.00,$0,Enhanced,No Gap Coverage,EA,H0104,010,4," $3,400 ",3 Stars
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$290,Basic,No Gap Coverage,BA,H0104,011,6," $3,400 ",3 Stars
Alabama,Blount,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0151,001,0," $4,450 ",2.5 Stars
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Blount,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$53.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,002,0," $5,300 ",3 Stars
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00,,,,,H5698,035,0," $3,400 ",2.5 Stars
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$40.00,$0,Enhanced,Some Generics,EA,H5698,036,0," $3,400 ",2.5 Stars
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00,$0,Enhanced,Some Generics,EA,H5698,062,0," $6,700 ",2.5 Stars
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$128.00,$0,Enhanced,Some Generics,EA,H5698,068,0," $4,500 ",2.5 Stars
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Bullock,Care Improvement Plus,Care Improvement Plus Medicare Advantage (PPO),Local PPO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0084,057,0," $6,700 ",2.5 Stars
Alabama,Bullock,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Bullock,Humana Insurance Company,HumanaChoice H1681-005 (PPO),Local PPO,$50.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,005,0," $5,300 ",3 Stars
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Butler,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Calhoun,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$193.00,$290,Basic,No Gap Coverage,BA,H0104,011,2," $3,400 ",3 Stars
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Chambers,Care Improvement Plus,Care Improvement Plus Medicare Advantage (PPO),Local PPO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0084,057,0," $6,700 ",2.5 Stars
Alabama,Chambers,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Chambers,Humana Insurance Company,HumanaChoice H5214-009 (PPO),Local PPO,$30.00,$0,Enhanced,Few Generics and Few Brands,EA,H5214,009,0," $4,400 ",3.5 Stars
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Cherokee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring Preferred (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0," $3,400 ",3 Stars
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring Advantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0," $3,400 ",3 Stars
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring Premier (HMO-POS),Local HMO,$69.50,$0,Enhanced,Many Generics,EA,H0150,023,0," $2,950 ",3 Stars
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Cherokee,Humana Insurance Company,HumanaChoice H1681-004 (PPO),Local PPO,$37.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,004,0," $5,300 ",3 Stars
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$123.00,$0,Enhanced,No Gap Coverage,EA,H0104,010,4," $3,400 ",3 Stars
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$290,Basic,No Gap Coverage,BA,H0104,011,6," $3,400 ",3 Stars
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring Preferred (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0," $3,400 ",3 Stars
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring Advantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0," $3,400 ",3 Stars
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring Premier (HMO-POS),Local HMO,$69.50,$0,Enhanced,Many Generics,EA,H0150,023,0," $2,950 ",3 Stars
Alabama,Chilton,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00,$0,Enhanced,No Gap Coverage,EA,H0151,001,0," $4,450 ",2.5 Stars
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$125,Enhanced,No Gap Coverage,EA,H0154,001,0," $5,000 ",3.5 Stars
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0," $5,000 ",3.5 Stars
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$115.00,$0,Enhanced,No Gap Coverage,EA,H0154,011,0," $5,000 ",3.5 Stars
Alabama,Chilton,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$53.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,002,0," $5,300 ",3 Stars
Alabama,Chilton,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00,,,,,H5698,035,0," $3,400 ",2.5 Stars
Alabama,Chilton,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$40.00,$0,Enhanced,Some Generics,EA,H5698,036,0," $3,400 ",2.5 Stars
Alabama,Chilton,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00,$0,Enhanced,Some Generics,EA,H5698,062,0," $6,700 ",2.5 Stars
Alabama,Chilton,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$128.00,$0,Enhanced,Some Generics,EA,H5698,068,0," $4,500 ",2.5 Stars
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Choctaw,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Clarke,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Clarke,"Humana Health Plan, Inc.",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00,$0,Enhanced,Few Generics and Few Brands,EA,H2012,003,0," $5,900 ",3.5 Stars
Alabama,Clarke,"Humana Health Plan, Inc.",Humana Gold Plus H2012-051 (HMO),Local HMO,$43.00,$0,Enhanced,Few Generics and Few Brands,EA,H2012,051,0," $4,900 ",3.5 Stars
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Clay,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$67.00,$0,Enhanced,Few Generics and Few Brands,EA,H8145,075,0, N/A ,3.5 Stars
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0, N/A ,3.5 Stars
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Cleburne,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Coffee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,3," $3,400 ",3 Stars
Alabama,Coffee,Humana Insurance Company,HumanaChoice H1681-006 (PPO),Local PPO,$51.00,$0,Enhanced,Few Generics and Few Brands,EA,H1681,006,0," $5,300 ",3 Stars
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$62.00,$100,Basic,No Gap Coverage,BA,R5826,001,0," $4,900 ",3.5 Stars
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0," $3,400 ",3.5 Stars
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$203.00,$0,Enhanced,No Gap Coverage,EA,H0104,010,5," $3,400 ",3 Stars
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$103.00,$290,Basic,No Gap Coverage,BA,H0104,011,4," $3,400 ",3 Stars
