"state","county","organizationname","planname","typeofmedicarehealthplan","monthlyconsolidatedpremiumi","annualdrugdeductible","drugbenefittype","additionalcoverageofferedin","drugbenefittypedetail","contractid","planid","segmentid","innetworkmoopamount","overallstarrating","overallstarratingstr"
"Alabama","Autauga","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Baldwin","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",0,150,"Enhanced","No","EA","H0104","014","0",5000,3.5,"3.5 Stars"
"Alabama","Baldwin","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Baldwin","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Baldwin","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",0,200,"Enhanced","Yes","EA","H0150","024","1",6700,3.5,"3.5 Stars"
"Alabama","Baldwin","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Baldwin","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Baldwin","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Baldwin","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,55,"Enhanced","No","EA","H2802","041","0",5400,4,"4 Stars"
"Alabama","Baldwin","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",44,0,"Enhanced","No","EA","H2802","042","0",3400,4,"4 Stars"
"Alabama","Baldwin","Humana Benefit Plan of Illinois, Inc.","HumanaChoice H5525-020 (PPO)","Local PPO",66,360,"Enhanced","No","EA","H5525","020","0",6700,4,"4 Stars"
"Alabama","Baldwin","Arcadian Health Plan, Inc.","Humana Gold Plus H5619-089 (HMO)","Local HMO",0,360,"Enhanced","No","EA","H5619","089","0",6300,4,"4 Stars"
"Alabama","Baldwin","Humana Insurance Company","Humana Gold Choice H8145-075 (PFFS)","PFFS",95,295,"Basic","No","BA","H8145","075","0",,3.5,"3.5 Stars"
"Alabama","Baldwin","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Baldwin","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Barbour","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Barbour","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Barbour","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","003","0",5900,,"Plan too new to be measured"
"Alabama","Barbour","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","004","0",3900,,"Plan too new to be measured"
"Alabama","Barbour","Humana Insurance Company","HumanaChoice H5216-096 (PPO)","Local PPO",45,150,"Enhanced","No","EA","H5216","096","0",6700,4,"4 Stars"
"Alabama","Barbour","Aetna Medicare","Aetna Medicare Essential Plan (PPO)","Local PPO",0,75,"Enhanced","Yes","EA","H5521","091","0",5900,4,"4 Stars"
"Alabama","Barbour","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Barbour","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Bibb","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",0,150,"Enhanced","No","EA","H0104","014","0",5000,3.5,"3.5 Stars"
"Alabama","Bibb","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Bibb","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Bibb","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",0,200,"Enhanced","Yes","EA","H0150","024","1",6700,3.5,"3.5 Stars"
"Alabama","Bibb","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,55,"Enhanced","No","EA","H2802","041","0",5400,4,"4 Stars"
"Alabama","Bibb","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",44,0,"Enhanced","No","EA","H2802","042","0",3400,4,"4 Stars"
"Alabama","Bibb","Humana Insurance Company","HumanaChoice H5216-095 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","095","0",6700,4,"4 Stars"
"Alabama","Bibb","Arcadian Health Plan, Inc.","Humana Gold Plus H5619-088 (HMO)","Local HMO",0,150,"Enhanced","No","EA","H5619","088","0",6300,4,"4 Stars"
"Alabama","Bibb","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Bibb","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Blount","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Blount","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Blount","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Blount","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",38,200,"Enhanced","Yes","EA","H0150","024","2",6700,3.5,"3.5 Stars"
"Alabama","Blount","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Blount","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Blount","VIVA Medicare","VIVA Medicare Me (HMO)","Local HMO",0,0,"Enhanced","No","EA","H0154","014","0",5900,4.5,"4.5 Stars"
"Alabama","Blount","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Blount","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,55,"Enhanced","No","EA","H2802","041","0",5400,4,"4 Stars"
"Alabama","Blount","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",44,0,"Enhanced","No","EA","H2802","042","0",3400,4,"4 Stars"
"Alabama","Blount","Humana Insurance Company","HumanaChoice H5216-095 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","095","0",6700,4,"4 Stars"
"Alabama","Blount","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Blount","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Bullock","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Bullock","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Bullock","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Bullock","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Bullock","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",28,200,"Enhanced","No","EA","H0154","015","2",6700,4.5,"4.5 Stars"
"Alabama","Bullock","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","003","0",5900,,"Plan too new to be measured"
"Alabama","Bullock","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","004","0",3900,,"Plan too new to be measured"
"Alabama","Bullock","Humana Insurance Company","HumanaChoice H5216-095 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","095","0",6700,4,"4 Stars"
"Alabama","Bullock","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Bullock","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Butler","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Butler","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Butler","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Butler","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Calhoun","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Calhoun","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Calhoun","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Calhoun","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Calhoun","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Calhoun","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Calhoun","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Chambers","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Chambers","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Chambers","Humana Insurance Company","HumanaChoice H5216-056 (PPO)","Local PPO",45,250,"Enhanced","No","EA","H5216","056","0",6700,4,"4 Stars"
"Alabama","Chambers","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Chambers","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Cherokee","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Cherokee","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Cherokee","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Cherokee","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",38,200,"Enhanced","Yes","EA","H0150","024","2",6700,3.5,"3.5 Stars"
"Alabama","Cherokee","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Cherokee","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Cherokee","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",28,200,"Enhanced","No","EA","H0154","015","2",6700,4.5,"4.5 Stars"
"Alabama","Cherokee","Humana Insurance Company","HumanaChoice H5216-094 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","094","0",6700,4,"4 Stars"
"Alabama","Cherokee","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Cherokee","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Chilton","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",0,150,"Enhanced","No","EA","H0104","014","0",5000,3.5,"3.5 Stars"
"Alabama","Chilton","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Chilton","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Chilton","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",0,200,"Enhanced","Yes","EA","H0150","024","1",6700,3.5,"3.5 Stars"
"Alabama","Chilton","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Chilton","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Chilton","VIVA Medicare","VIVA Medicare Me (HMO)","Local HMO",0,0,"Enhanced","No","EA","H0154","014","0",5900,4.5,"4.5 Stars"
"Alabama","Chilton","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Chilton","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,55,"Enhanced","No","EA","H2802","041","0",5400,4,"4 Stars"
"Alabama","Chilton","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",44,0,"Enhanced","No","EA","H2802","042","0",3400,4,"4 Stars"
"Alabama","Chilton","Humana Insurance Company","HumanaChoice H5216-095 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","095","0",6700,4,"4 Stars"
"Alabama","Chilton","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Chilton","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Choctaw","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Choctaw","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Choctaw","Humana Insurance Company","HumanaChoice H5216-094 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","094","0",6700,4,"4 Stars"
"Alabama","Choctaw","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Choctaw","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Clarke","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Clarke","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Clarke","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","005","0",5900,,"Plan too new to be measured"
"Alabama","Clarke","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","006","0",3900,,"Plan too new to be measured"
"Alabama","Clarke","Humana Benefit Plan of Illinois, Inc.","HumanaChoice H5525-020 (PPO)","Local PPO",66,360,"Enhanced","No","EA","H5525","020","0",6700,4,"4 Stars"
"Alabama","Clarke","Arcadian Health Plan, Inc.","Humana Gold Plus H5619-089 (HMO)","Local HMO",0,360,"Enhanced","No","EA","H5619","089","0",6300,4,"4 Stars"
"Alabama","Clarke","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Clarke","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Clay","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Clay","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Clay","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","007","0",5900,,"Plan too new to be measured"
"Alabama","Clay","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","008","0",3900,,"Plan too new to be measured"
"Alabama","Clay","Humana Insurance Company","Humana Gold Choice H8145-075 (PFFS)","PFFS",95,295,"Basic","No","BA","H8145","075","0",,3.5,"3.5 Stars"
"Alabama","Clay","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Clay","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Cleburne","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Cleburne","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Cleburne","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Cleburne","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Coffee","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Coffee","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Coffee","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","003","0",5900,,"Plan too new to be measured"
"Alabama","Coffee","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","004","0",3900,,"Plan too new to be measured"
"Alabama","Coffee","Humana Insurance Company","HumanaChoice H5216-096 (PPO)","Local PPO",45,150,"Enhanced","No","EA","H5216","096","0",6700,4,"4 Stars"
"Alabama","Coffee","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Coffee","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Colbert","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Colbert","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Colbert","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Colbert","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",38,200,"Enhanced","Yes","EA","H0150","024","2",6700,3.5,"3.5 Stars"
"Alabama","Colbert","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Colbert","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Colbert","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Colbert","Humana Insurance Company","HumanaChoice H5216-094 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","094","0",6700,4,"4 Stars"
"Alabama","Colbert","Arcadian Health Plan, Inc.","Humana Gold Plus H5619-094 (HMO)","Local HMO",43,360,"Enhanced","No","EA","H5619","094","0",6700,4,"4 Stars"
"Alabama","Colbert","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Colbert","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Conecuh","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Conecuh","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Conecuh","Humana Insurance Company","HumanaChoice H5216-094 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","094","0",6700,4,"4 Stars"
"Alabama","Conecuh","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
"Alabama","Conecuh","Humana Insurance Company","HumanaChoice R7315-002 (Regional PPO)","Regional PPO",87,220,"Basic","No","BA","R7315","002","0",6700,3.5,"3.5 Stars"
"Alabama","Coosa","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Coosa","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Coosa","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,80,"Enhanced","No","EA","H0432","007","0",5900,,"Plan too new to be measured"
"Alabama","Coosa","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",47,0,"Enhanced","No","EA","H0432","008","0",3900,,"Plan too new to be measured"
"Alabama","Coosa","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
