"2011 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of December 17, 2010.  Includes all 2011 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2011, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2011 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Preventive Services Provided at Zero Cost Share
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Autauga,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$100,Basic,None,BA,H0104,011,6,"$3,400",Yes
Alabama,Baldwin,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$149.00,$0,Enhanced,None,EA,H0104,010,1,"$3,400",Yes
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0,"$3,400",Yes
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Plus (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0,"$3,400",Yes
Alabama,Baldwin,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Premier (HMO-POS),Local HMO,$35.00,$0,Enhanced,Many Generics,EA,H0150,023,0,"$3,400",Yes
Alabama,Baldwin,"Humana Health Plan, Inc",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00,$0,Enhanced,"Few Generics, Few Brands",EA,H2012,003,0,"$3,400",Yes
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00,$0,Enhanced,"Few Generics, Few Brands",EA,H8145,075,0,"$5,000",Yes
Alabama,Baldwin,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0,"$6,700",Yes
Alabama,Baldwin,Humana Insurance Company,HumanaChoice H1681-003 (PPO),Local PPO,$27.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,003,0,"$4,900",Yes
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Baldwin,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Baldwin,SecureHorizons by UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO,$0.00,$0,Enhanced,None,EA,H0151,001,0,"$3,950",Yes
Alabama,Barbour,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Barbour,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$100,Basic,None,BA,H0104,011,6,"$3,400",Yes
Alabama,Bibb,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00,$0,Enhanced,None,EA,H0104,010,4,"$3,400",Yes
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0,"$3,400",Yes
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Plus (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0,"$3,400",Yes
Alabama,Bibb,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Premier (HMO-POS),Local HMO,$35.00,$0,Enhanced,Many Generics,EA,H0150,023,0,"$3,400",Yes
Alabama,Bibb,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$48.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,002,0,"$4,900",Yes
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Bibb,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Bibb,SecureHorizons by UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO,$0.00,$0,Enhanced,None,EA,H0151,001,0,"$3,950",Yes
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$100,Basic,None,BA,H0104,011,6,"$3,400",Yes
Alabama,Blount,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00,$0,Enhanced,None,EA,H0104,010,4,"$3,400",Yes
Alabama,Blount,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$48.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,002,0,"$4,900",Yes
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Blount,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Blount,SecureHorizons by UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO,$0.00,$0,Enhanced,None,EA,H0151,001,0,"$3,950",Yes
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Blount,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Diamond Plan (HMO),Local HMO,$135.00,$0,Enhanced,Some Generics,EA,H5698,152,0,"$3,400",Yes
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Emerald Plan (HMO),Local HMO,$0.00,$0,Enhanced,Some Generics,EA,H5698,150,0,"$6,700",Yes
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Gold Plan (HMO),Local HMO,$25.00,$0,Enhanced,Some Generics,EA,H5698,151,0,"$3,400",Yes
Alabama,Blount,Windsor Medicare Extra,Windsor Medicare Extra Silver Plan (HMO),Local HMO *,$0.00,,,,,H5698,035,0,"$3,400",Yes
Alabama,Bullock,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Bullock,Humana Insurance Company,HumanaChoice H1681-005 (PPO),Local PPO,$34.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,005,0,"$4,900",Yes
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Bullock,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Bullock,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Butler,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Butler,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Calhoun,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$189.00,$100,Basic,None,BA,H0104,011,2,"$3,400",Yes
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Calhoun,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Chambers,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Chambers,Humana Insurance Company,HumanaChoice H5214-009 (PPO),Local PPO,$28.00,$0,Enhanced,"Few Generics, Few Brands",EA,H5214,009,0,"$3,900",Yes
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Chambers,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Cherokee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0,"$3,400",Yes
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Plus (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0,"$3,400",Yes
Alabama,Cherokee,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Premier (HMO-POS),Local HMO,$35.00,$0,Enhanced,Many Generics,EA,H0150,023,0,"$3,400",Yes
Alabama,Cherokee,Humana Insurance Company,HumanaChoice H1681-004 (PPO),Local PPO,$20.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,004,0,"$4,900",Yes
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Cherokee,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$0.00,$100,Basic,None,BA,H0104,011,6,"$3,400",Yes
Alabama,Chilton,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$119.00,$0,Enhanced,None,EA,H0104,010,4,"$3,400",Yes
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0,"$3,400",Yes
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Plus (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0,"$3,400",Yes
Alabama,Chilton,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Premier (HMO-POS),Local HMO,$35.00,$0,Enhanced,Many Generics,EA,H0150,023,0,"$3,400",Yes
Alabama,Chilton,Humana Insurance Company,HumanaChoice H1681-002 (PPO),Local PPO,$48.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,002,0,"$4,900",Yes
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Chilton,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Chilton,SecureHorizons by UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO,$0.00,$0,Enhanced,None,EA,H0151,001,0,"$3,950",Yes
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Chilton,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Choctaw,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Clarke,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Clarke,"Humana Health Plan, Inc",Humana Gold Plus H2012-003 (HMO),Local HMO,$0.00,$0,Enhanced,"Few Generics, Few Brands",EA,H2012,003,0,"$3,400",Yes
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Clarke,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Clay,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00,$0,Enhanced,"Few Generics, Few Brands",EA,H8145,075,0,"$5,000",Yes
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0,"$6,700",Yes
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Clay,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Cleburne,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Cleburne,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00,$0,Enhanced,"Few Generics, Few Brands",EA,H8145,075,0,"$5,000",Yes
Alabama,Cleburne,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0,"$6,700",Yes
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Coffee,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Coffee,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,4,"$3,400",Yes
Alabama,Colbert,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$199.00,$0,Enhanced,None,EA,H0104,010,5,"$3,400",Yes
Alabama,Colbert,Humana Insurance Company,HumanaChoice H1681-001 (PPO),Local PPO,$39.00,$0,Enhanced,"Few Generics, Few Brands",EA,H1681,001,0,"$4,900",Yes
Alabama,Colbert,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Colbert,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Conecuh,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Conecuh,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Conecuh,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Coosa,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Coosa,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Coosa,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Covington,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Covington,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Covington,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Crenshaw,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Crenshaw,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Crenshaw,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Crenshaw,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Crenshaw,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Crenshaw,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Cullman,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Cullman,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage (HMO),Local HMO *,$0.00,,,,,H0150,012,0,"$3,400",Yes
Alabama,Cullman,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Plus (HMO),Local HMO,$0.00,$0,Enhanced,Many Generics,EA,H0150,001,0,"$3,400",Yes
Alabama,Cullman,"Healthspring of Alabama, Inc.",HealthSpring HealthyAdvantage Premier (HMO-POS),Local HMO,$35.00,$0,Enhanced,Many Generics,EA,H0150,023,0,"$3,400",Yes
Alabama,Cullman,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00,$0,Enhanced,"Few Generics, Few Brands",EA,H8145,075,0,"$5,000",Yes
Alabama,Cullman,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00,,,,,H8145,111,0,"$6,700",Yes
Alabama,Cullman,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
Alabama,Cullman,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00,,,,,R5826,065,0,"$3,400",Yes
Alabama,Cullman,VIVA Medicare Plus,VIVA Medicare Plus Rx (HMO),Local HMO,$0.00,$130,Basic,None,BA,H0154,001,0,"$6,700",Yes
Alabama,Cullman,VIVA Medicare Plus,VIVA Medicare Plus Rx Premier (HMO),Local HMO,$97.00,$0,Enhanced,Many Generics,EA,H0154,011,0,"$6,700",Yes
Alabama,Cullman,VIVA Medicare Plus,VIVA Medicare Plus Select (HMO),Local HMO *,$0.00,,,,,H0154,008,0,"$6,700",Yes
Alabama,Dale,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00,$100,Basic,None,BA,H0104,011,3,"$3,400",Yes
Alabama,Dale,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00,$310,Basic,None,DS,R5826,001,0,"$3,900",Yes
